Ano;Alemanha;Áustria;Bélgica;Bulgária;Chipre;Croácia;Dinamarca;Eslováquia;Eslovénia;Espanha;Estónia;Finlândia;França;Grécia;Hungria;Irlanda;Itália;Letónia;Lituânia;Luxemburgo;Malta;Países Baixos;Polónia;Portugal;República Checa;Roménia;Suécia
2000;1251.531;141.246;280.960;10.177;6.025;8.441;93.084;10.954;5.484;374.557;0.316;61.564;870.626;148.217;28.008;39.494;1353.569;1.011;2.912;1.723;2.654;235.839;70.735;69.592;11.568;7.533;137.290
2001;1264.267;147.154;286.056;10.270;6.661;9.661;89.465;12.370;6.036;378.883;0.333;62.825;897.446;162.971;32.818;40.969;1420.027;1.304;3.185;1.824;2.989;238.641;83.306;77.908;18.322;10.917;139.698
2002;1317.680;151.296;288.111;8.890;7.340;10.398;93.175;12.274;6.708;384.145;0.443;63.299;956.794;171.410;41.007;41.987;1436.142;1.252;3.366;1.864;2.927;244.876;84.224;85.595;22.014;10.757;141.391
2003;1405.195;152.688;285.867;8.127;8.185;11.622;89.061;13.125;6.944;382.775;0.490;68.508;1050.356;181.510;42.348;43.409;1471.326;1.410;3.395;1.951;3.267;256.443;83.894;93.333;24.531;10.310;146.710
2004;1475.183;157.985;288.419;7.526;9.056;13.211;89.395;14.977;7.428;389.888;0.500;71.335;1123.615;199.282;50.505;43.889;1526.401;1.629;3.405;2.208;3.450;266.292;103.059;102.158;28.673;11.769;152.019
2005;1545.670;174.404;294.975;6.389;9.596;15.125;79.533;13.945;7.690;393.479;0.533;69.397;1189.919;213.976;54.076;44.371;1591.581;1.639;3.702;2.409;3.606;274.237;119.592;114.553;31.386;12.398;152.005
2006;1595.312;180.270;297.495;5.721;9.598;15.535;71.183;15.496;8.202;392.132;0.628;69.532;1194.106;225.730;62.299;43.724;1657.334;1.737;4.152;2.806;3.473;264.117;131.959;122.500;35.405;12.586;150.538
2007;1603.669;184.675;300.064;5.297;9.462;16.488;63.755;17.194;8.014;384.662;0.618;67.340;1252.867;239.915;66.503;47.183;1677.650;1.935;4.610;3.049;3.585;266.181;147.053;127.626;39.606;14.099;136.788
2008;1672.576;201.810;327.683;4.848;8.659;18.559;80.548;19.616;8.263;440.621;0.749;67.435;1370.326;264.775;73.317;79.621;1738.647;4.511;4.762;5.855;3.837;353.996;144.652;135.478;42.299;16.556;117.711
2009;1789.213;230.015;347.224;5.113;10.139;22.097;92.987;23.306;12.518;569.535;1.023;80.200;1607.983;301.062;76.528;104.685;1839.233;6.957;7.529;5.970;4.153;354.723;166.538;154.014;49.824;27.296;132.748
2010;2102.672;244.697;364.132;5.857;10.954;25.790;103.473;27.929;13.916;649.153;0.982;94.286;1701.122;330.570;79.115;144.230;1920.620;8.538;10.151;8.096;4.463;378.722;194.895;179.996;59.060;36.729;151.874
2011;2139.149;255.684;389.107;6.285;13.058;28.519;114.452;30.980;17.217;743.043;1.027;102.829;1807.957;356.235;72.882;189.727;1973.445;8.949;11.629;8.202;4.848;401.263;192.145;201.459;62.576;43.938;155.457
2012;2216.705;261.041;404.752;7.006;15.619;30.747;114.026;38.098;19.418;927.813;1.763;115.931;1892.540;305.085;77.531;210.026;2054.728;9.364;13.264;9.702;4.907;432.395;216.869;217.160;71.779;49.446;163.589
2013;2201.918;263.230;414.432;7.148;18.707;35.386;113.943;40.742;25.520;1025.655;1.934;123.726;1977.734;320.498;78.882;215.242;2136.202;9.172;13.551;10.995;5.278;446.999;224.120;224.078;67.096;53.429;173.698
2014;2203.743;280.001;431.379;11.619;19.014;36.742;117.801;40.844;30.220;1084.846;2.130;133.359;2039.884;319.629;79.576;203.382;2202.972;9.818;14.828;11.318;5.433;455.806;204.509;230.059;65.581;58.489;191.315
2015;2177.231;292.265;438.497;11.872;19.164;37.535;108.532;41.413;32.087;1113.661;2.077;144.443;2101.255;311.729;83.834;201.674;2239.383;9.089;15.881;11.433;5.623;446.069;216.566;235.746;67.944;59.494;202.765
2016;2161.571;296.245;451.612;14.188;19.509;37.576;105.450;42.481;31.756;1145.050;2.174;147.963;2188.481;315.012;87.470;200.635;2285.669;10.224;15.447;11.011;5.770;438.462;229.014;245.245;64.940;62.789;195.276
2017;2111.751;289.951;454.041;13.183;18.814;38.366;105.727;43.572;31.893;1183.412;2.174;149.457;2254.331;317.481;91.266;201.267;2329.859;10.493;16.540;12.677;5.705;420.375;241.130;247.175;68.521;64.560;192.749
2018;2063.571;285.422;459.381;12.427;21.256;38.665;102.597;44.405;32.245;1208.861;2.127;151.430;2310.877;334.721;93.372;205.848;2381.513;10.784;15.322;12.567;5.662;405.840;240.805;249.261;67.431;70.874;184.532
2019;2046.638;280.533;467.240;12.311;20.958;39.416;104.153;45.306;31.751;1223.355;2.373;155.650;2374.942;331.093;94.210;203.364;2410.011;11.209;17.526;13.959;5.720;394.732;245.730;249.978;68.493;78.088;170.115
2020;2315.216;315.980;515.168;15.132;24.852;43.781;131.824;55.023;37.423;1345.786;5.094;177.940;2656.153;341.153;105.495;217.742;2572.757;12.711;23.062;15.874;6.975;435.459;293.124;270.495;81.923;102.678;198.526
