"	DE - Alemanha	AT - Áustria	BE - Bélgica	BG - Bulgária	CY - Chipre	HR - Croácia	DK - Dinamarca	SK - Eslováquia	SI - Eslovénia	ES - Espanha	EE - Estónia	FI - Finlândia	FR - França	GR - Grécia	HU - Hungria	IE - Irlanda	IT - Itália	LV - Letónia	LT - Lituânia	LU - Luxemburgo	MT - Malta	NL - Países Baixos	PL - Polónia	PT - Portugal	CZ - República Checa	RO - Roménia	SE - Suécia"
"2000	 1 251 530,5	 141 245,5	 280 959,5	 10 177,1	 6 024,5	 8 441,0	 93 084,0	 10 953,5	 5 483,6	 374 557,0	 315,6	 61 564,0	 870 626,0	 148 217,0	 28 008,4	 39 494,0	 1 353 569,3	 1 011,0	 2 912,1	 1 722,8	 2 654,0	 235 839,0	 70 735,4	 69 591,8	 11 567,8	 7 532,8	 137 290,4"
"2001	 1 264 266,9	 147 154,2	 286 055,5	 10 269,8	 6 660,9	 9 661,3	 89 464,7	 12 369,5	 6 035,5	 378 883,0	 333,4	 62 825,0	 897 446,0	 162 971,0	 32 818,1	 40 969,2	 1 420 026,9	 1 304,4	 3 185,2	 1 823,6	 2 989,2	 238 641,0	 83 306,4	 77 908,0	 18 322,2	 10 917,2	 139 698,4"
"2002	 1 317 679,6	 151 295,9	 288 110,8	 8 890,3	 7 339,8	 10 397,5	 93 174,5	 12 274,1	 6 707,8	 384 145,0	 442,9	 63 299,0	 956 794,0	 171 410,0	 41 007,4	 41 987,4	 1 436 141,8	 1 251,5	 3 365,7	 1 864,4	 2 927,3	 244 876,0	 84 224,1	 85 594,9	 22 013,9	 10 757,1	 141 390,6"
"2003	 1 405 194,6	 152 688,1	 285 866,7	 8 126,5	 8 184,8	 11 622,3	 89 061,4	 13 125,0	 6 943,8	 382 775,0	 489,7	 68 508,0	 1 050 356,0	 181 510,0	 42 348,3	 43 409,3	 1 471 325,7	 1 410,2	 3 395,1	 1 951,1	 3 267,4	 256 443,0	 83 894,0	 93 333,4	 24 530,7	 10 309,5	 146 709,7"
"2004	 1 475 183,2	 157 985,4	 288 418,8	 7 526,2	 9 055,9	 13 210,7	 89 394,7	 14 977,1	 7 427,5	 389 888,0	 499,9	 71 335,0	 1 123 615,0	 199 282,0	 50 505,1	 43 888,9	 1 526 400,5	 1 628,6	 3 404,5	 2 208,4	 3 449,6	 266 292,0	 103 059,1	 102 157,9	 28 673,0	 11 768,7	 152 019,2"
"2005	 1 545 669,5	 174 403,5	 294 975,3	 6 388,6	 9 595,9	 15 124,7	 79 532,5	 13 945,3	 7 690,1	 393 479,0	 533,1	 69 397,0	 1 189 919,0	 213 976,0	 54 075,6	 44 371,3	 1 591 580,6	 1 638,8	 3 701,9	 2 409,2	 3 606,4	 274 237,0	 119 592,0	 114 552,9	 31 385,6	 12 397,6	 152 005,1"
"2006	 1 595 311,5	 180 270,0	 297 494,9	 5 721,0	 9 597,7	 15 534,8	 71 183,3	 15 496,2	 8 201,5	 392 132,0	 628,1	 69 532,0	 1 194 106,0	 225 730,0	 62 298,8	 43 723,8	 1 657 334,2	 1 736,5	 4 151,9	 2 805,8	 3 472,9	 264 117,0	 131 958,8	 122 499,7	 35 405,0	 12 585,6	 150 537,7"
"2007	 1 603 669,1	 184 674,5	 300 063,7	 5 296,9	 9 461,9	 16 488,4	 63 755,0	 17 194,1	 8 013,6	 384 662,0	 617,5	 67 340,0	 1 252 867,0	 239 915,0	 66 503,3	 47 183,1	 1 677 649,8	 1 935,1	 4 609,7	 3 048,9	 3 584,6	 266 181,0	 147 052,7	 127 625,5	 39 606,2	 14 099,4	 136 787,5"
"2008	 1 672 576,3	 201 809,9	 327 683,2	 4 848,1	 8 658,6	 18 559,3	 80 547,5	 19 616,1	 8 262,5	 440 621,0	 749,4	 67 435,0	 1 370 326,0	 264 775,0	 73 317,3	 79 621,0	 1 738 647,0	 4 511,3	 4 762,1	 5 855,4	 3 837,0	 353 996,0	 144 651,7	 135 477,9	 42 298,6	 16 555,6	 117 711,2"
"2009	 1 789 213,3	 230 014,6	 347 223,7	 5 112,5	 10 139,0	 22 096,9	 92 986,6	 23 305,7	 12 517,5	 569 535,0	 1 023,1	 80 200,0	 1 607 983,0	 301 062,0	 76 528,1	 104 685,4	 1 839 232,6	 6 957,0	 7 528,5	 5 970,4	 4 152,7	 354 723,0	 166 538,0	 154 014,0	 49 824,4	 27 295,7	 132 748,4"
