Ano;Alemanha;Áustria;Bélgica;Bulgária;Chipre;Croácia;Dinamarca;Eslováquia;Eslovénia;Espanha;Estónia;Finlândia;França;Grécia;Hungria;Irlanda;Itália;Letónia;Lituânia;Luxemburgo;Malta;Países_Baixos;Polónia;Portugal;República Checa;Roménia;Suécia;Islândia;Noruega
2000;82.212;8.012;10.251;8.170;0.694;4.397;5.340;5.389;1.989;40.568;1.397;5.176;60.762;10.806;10.211;3.805;56.942;2.368;3.500;0.436;0.390;15.926;38.259;10.290;10.255;22.443;8.872;0.281;4.491
2001;82.350;8.042;10.287;8.009;0.702;4.300;5.359;5.379;1.992;40.850;1.388;5.188;61.202;10.862;10.188;3.866;56.974;2.337;3.471;0.442;0.393;16.046;38.248;10.363;10.217;22.132;8.896;0.285;4.514
2002;82.488;8.082;10.333;7.837;0.710;4.305;5.376;5.377;1.995;41.432;1.379;5.201;61.644;10.902;10.159;3.932;57.059;2.310;3.443;0.446;0.396;16.149;38.230;10.420;10.197;21.730;8.925;0.288;4.538
2003;82.534;8.121;10.376;7.775;0.718;4.306;5.391;5.373;1.996;42.188;1.371;5.213;62.078;10.928;10.130;3.997;57.313;2.288;3.415;0.452;0.399;16.225;38.205;10.459;10.194;21.574;8.958;0.290;4.565
2004;82.516;8.172;10.421;7.717;0.728;4.308;5.405;5.372;1.997;42.922;1.363;5.228;62.533;10.955;10.107;4.070;57.685;2.263;3.377;0.458;0.401;16.282;38.182;10.484;10.197;21.452;8.994;0.292;4.592
2005;82.469;8.228;10.479;7.659;0.739;4.312;5.419;5.373;2.000;43.653;1.355;5.246;63.001;10.987;10.087;4.160;57.969;2.239;3.323;0.465;0.404;16.320;38.165;10.503;10.211;21.320;9.030;0.297;4.623
2006;82.376;8.269;10.548;7.601;0.751;4.313;5.437;5.373;2.007;44.397;1.347;5.266;63.437;11.020;10.071;4.274;58.144;2.218;3.270;0.473;0.405;16.346;38.141;10.522;10.239;21.194;9.081;0.304;4.661
2007;82.266;8.295;10.626;7.545;0.767;4.313;5.461;5.375;2.010;45.227;1.341;5.289;63.826;11.048;10.056;4.399;58.438;2.200;3.231;0.480;0.407;16.382;38.121;10.543;10.299;20.883;9.148;0.312;4.709
2008;82.110;8.321;10.710;7.493;0.787;4.311;5.494;5.379;2.021;45.954;1.337;5.313;64.179;11.078;10.038;4.490;58.827;2.177;3.198;0.489;0.409;16.446;38.126;10.558;10.385;20.538;9.220;0.317;4.768
2009;81.902;8.343;10.796;7.444;0.808;4.306;5.523;5.386;2.040;46.363;1.335;5.339;64.505;11.107;10.023;4.535;59.095;2.142;3.163;0.498;0.412;16.530;38.079;10.568;10.444;20.367;9.299;0.318;4.829
2010;81.012;8.363;10.920;7.396;0.829;4.296;5.548;5.391;2.049;46.577;1.331;5.363;64.819;11.121;10.000;4.560;59.277;2.098;3.097;0.507;0.415;16.615;38.043;10.573;10.474;20.247;9.378;0.318;4.889
2011;80.275;8.392;11.038;7.348;0.851;4.283;5.571;5.398;2.053;46.743;1.327;5.388;65.128;11.105;9.959;4.580;59.379;2.060;3.028;0.518;0.416;16.693;38.063;10.558;10.496;20.148;9.449;0.319;4.953
2012;80.426;8.430;11.107;7.306;0.864;4.269;5.592;5.408;2.057;46.773;1.323;5.414;65.439;11.045;9.920;4.600;59.540;2.034;2.988;0.531;0.420;16.755;38.063;10.515;10.511;20.058;9.519;0.321;5.019
2013;80.646;8.480;11.159;7.265;0.862;4.254;5.615;5.413;2.060;46.620;1.318;5.439;65.883;10.965;9.893;4.624;60.234;2.013;2.958;0.543;0.426;16.804;38.040;10.457;10.514;19.984;9.600;0.324;5.080
2014;80.983;8.546;11.209;7.224;0.853;4.236;5.643;5.419;2.062;46.481;1.315;5.462;66.312;10.892;9.866;4.658;60.789;1.994;2.932;0.556;0.435;16.865;38.012;10.401;10.525;19.909;9.696;0.327;5.137
2015;81.687;8.643;11.274;7.178;0.848;4.208;5.683;5.424;2.064;46.445;1.315;5.480;66.548;10.821;9.843;4.702;60.731;1.978;2.905;0.570;0.445;16.940;37.986;10.358;10.546;19.816;9.799;0.331;5.189
2016;82.349;8.737;11.331;7.128;0.852;4.172;5.728;5.431;2.065;46.484;1.316;5.495;66.724;10.776;9.814;4.755;60.627;1.960;2.868;0.583;0.455;17.030;37.970;10.325;10.566;19.702;9.923;0.335;5.235
2017;82.657;8.798;11.375;7.076;0.860;4.130;5.765;5.439;2.066;46.593;1.317;5.508;Pro 66 918 020;10.755;9.788;4.807;60.537;1.942;2.828;0.596;0.468;17.131;37.975;10.300;10.594;19.589;10.058;0.343;5.277
2018;82.906;8.841;11.427;7.025;0.870;4.091;5.794;5.447;2.074;46.798;1.322;5.516;Pro 67 101 930;10.733;9.776;s 4 867 316;60.150;1.927;2.802;0.608;0.485;17.232;37.975;10.284;10.630;19.474;10.175;0.353;5.312
2019;83.093;8.880;11.489;6.976;0.882;4.067;5.814;5.454;2.088;47.135;1.327;5.522;Pro 67 248 926;10.722;9.771;s 4 934 340;59.729;1.914;2.794;0.620;0.504;17.345;37.965;10.286;10.672;19.372;10.279;0.361;5.348
2020;83.161;8.917;11.539;6.934;0.892;4.047;5.831;5.459;2.102;47.366;1.330;5.530;Pro 67 488 449;10.699;9.750;4.985;59.439;1.900;2.795;0.630;0.515;17.442;Pro 37 899 070;10.297;10.698;19.265;10.353;0.366;5.379
