Anos;DE - Alemanha;AT - Áustria
2000;82 211 508;8 011 566
2001;82 349 925;8 042 293
2002;82 488 495;8 081 957
2003;82 534 176;8 121 423
2004;82 516 260;8 171 966
2005;82 469 422;8 227 829
2006;82 376 451;8 268 641
2007;82 266 372;8 295 487
2008;82 110 097;8 321 496
2009;81 902 307;8 343 323
2010;81 012 161;8 363 404
2011;80 274 983;8 391 643
2012;80 425 823;8 429 991
2013;80 645 605;8 479 823
2014;80 982 500;8 546 356
2015;81 686 611;8 642 699
2016;82 348 669;8 736 668
2017;82 657 002;8 797 566
2018;82 905 782;8 840 521
2019;83 092 962;8 879 920
2020;83 160 871;8 916 864
